Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Company_Name
"Jan 29, 2025",674.80,681.05,665.67,676.49,676.49,"16,354,325",META,"Meta Platforms, Inc."
"Jan 28, 2025",666.00,682.58,659.47,674.33,674.33,"20,950,100",META,"Meta Platforms, Inc."
"Jan 27, 2025",626.61,663.87,625.10,659.88,659.88,"28,399,200",META,"Meta Platforms, Inc."
"Jan 24, 2025",636.40,652.00,634.20,647.49,647.49,"19,065,300",META,"Meta Platforms, Inc."
"Jan 23, 2025",627.36,636.60,621.15,636.45,636.45,"9,910,200",META,"Meta Platforms, Inc."
"Jan 22, 2025",623.30,633.70,619.43,623.50,623.50,"12,274,000",META,"Meta Platforms, Inc."
"Jan 21, 2025",617.83,621.50,609.01,616.46,616.46,"11,674,000",META,"Meta Platforms, Inc."
"Jan 17, 2025",624.05,624.97,603.67,612.77,612.77,"17,280,600",META,"Meta Platforms, Inc."
"Jan 16, 2025",611.50,616.25,609.71,611.30,611.30,"8,355,300",META,"Meta Platforms, Inc."
"Jan 15, 2025",610.21,622.46,606.50,617.12,617.12,"15,524,300",META,"Meta Platforms, Inc."
"Jan 14, 2025",605.07,605.49,588.55,594.25,594.25,"13,598,000",META,"Meta Platforms, Inc."
"Jan 13, 2025",607.10,608.97,598.45,608.33,608.33,"10,785,000",META,"Meta Platforms, Inc."
"Jan 10, 2025",610.03,629.91,597.34,615.86,615.86,"19,256,600",META,"Meta Platforms, Inc."
"Jan 8, 2025",613.40,616.44,602.79,610.72,610.72,"10,085,800",META,"Meta Platforms, Inc."
"Jan 7, 2025",631.70,632.10,608.23,617.89,617.89,"12,071,500",META,"Meta Platforms, Inc."
"Jan 6, 2025",611.83,630.99,605.62,630.20,630.20,"14,560,800",META,"Meta Platforms, Inc."
"Jan 3, 2025",604.76,609.50,596.41,604.63,604.63,"11,436,800",META,"Meta Platforms, Inc."
"Jan 2, 2025",589.72,604.91,587.82,599.24,599.24,"12,682,300",META,"Meta Platforms, Inc."
"Dec 31, 2024",592.27,593.97,583.85,585.51,585.51,"6,019,500",META,"Meta Platforms, Inc."
"Dec 30, 2024",588.75,596.94,585.58,591.24,591.24,"7,025,900",META,"Meta Platforms, Inc."
"Dec 27, 2024",599.41,601.85,589.80,599.81,599.81,"8,084,200",META,"Meta Platforms, Inc."
"Dec 26, 2024",605.48,606.30,598.94,603.35,603.35,"6,081,400",META,"Meta Platforms, Inc."
"Dec 24, 2024",602.72,607.99,599.28,607.75,607.75,"4,726,100",META,"Meta Platforms, Inc."
"Dec 23, 2024",589.60,601.09,586.25,599.85,599.85,"10,205,800",META,"Meta Platforms, Inc."
"Dec 20, 2024",590.58,603.11,580.00,585.25,585.25,"48,989,400",META,"Meta Platforms, Inc."
"Dec 19, 2024",610.39,611.52,595.00,595.57,595.57,"14,958,100",META,"Meta Platforms, Inc."
"Dec 18, 2024",621.00,627.36,596.32,597.19,597.19,"17,075,500",META,"Meta Platforms, Inc."
"Dec 17, 2024",626.17,632.37,616.54,619.44,619.44,"12,897,800",META,"Meta Platforms, Inc."
"Dec 16, 2024",0.50 Dividend,,,,,,META,"Meta Platforms, Inc."
"Dec 16, 2024",629.98,631.15,618.58,624.24,624.24,"10,885,600",META,"Meta Platforms, Inc."
"Dec 13, 2024",627.22,631.08,616.89,620.35,619.85,"8,453,300",META,"Meta Platforms, Inc."
"Dec 12, 2024",631.50,636.66,627.21,630.79,630.28,"7,474,700",META,"Meta Platforms, Inc."
"Dec 11, 2024",623.37,638.40,621.53,632.68,632.17,"10,837,200",META,"Meta Platforms, Inc."
"Dec 10, 2024",617.56,625.59,612.74,619.32,618.82,"10,938,900",META,"Meta Platforms, Inc."
"Dec 9, 2024",623.92,626.40,606.17,613.57,613.08,"11,426,000",META,"Meta Platforms, Inc."
"Dec 6, 2024",610.10,629.79,608.53,623.77,623.27,"16,935,500",META,"Meta Platforms, Inc."
